step,mean_loss,epoch,compute_time
71,19.080227,2,2024-09-15 01:55:52.080771+00:00
72,21.998007,2,2024-09-15 01:55:52.808352+00:00
73,29.045559,2,2024-09-15 01:55:54.773917+00:00
74,20.13229,2,2024-09-15 01:55:55.760579+00:00
75,29.418114,2,2024-09-15 01:55:56.740170+00:00
76,46.011276,2,2024-09-15 01:55:57.428710+00:00
77,40.181263,2,2024-09-15 01:55:58.120416+00:00
78,23.890831,2,2024-09-15 01:55:58.831822+00:00
79,29.084229,2,2024-09-15 01:55:59.699873+00:00
80,52.46548,2,2024-09-15 01:56:00.479165+00:00
81,23.030941,2,2024-09-15 01:56:01.441069+00:00
82,25.547924,2,2024-09-15 01:56:02.111424+00:00
83,35.395016,2,2024-09-15 01:56:03.126707+00:00
84,57.409405,2,2024-09-15 01:56:04.097847+00:00
85,34.875195,2,2024-09-15 01:56:04.912662+00:00
86,24.509506,3,2024-09-15 01:56:05.594543+00:00
87,18.140425,3,2024-09-15 01:56:06.243099+00:00
88,17.159693,3,2024-09-15 01:56:07.142042+00:00
89,12.677688,3,2024-09-15 01:56:07.833095+00:00
90,20.938648,3,2024-09-15 01:56:08.575405+00:00
91,10.672837,3,2024-09-15 01:56:09.396770+00:00
92,7.9880433,3,2024-09-15 01:56:10.184621+00:00
93,17.932636,3,2024-09-15 01:56:10.961908+00:00
94,19.901192,3,2024-09-15 01:56:11.914359+00:00
95,19.583647,3,2024-09-15 01:56:12.788107+00:00
96,9.121297,3,2024-09-15 01:56:13.750295+00:00
97,22.132477,3,2024-09-15 01:56:14.487908+00:00
98,16.477356,3,2024-09-15 01:56:15.438117+00:00
99,2.7744713,3,2024-09-15 01:56:16.103972+00:00
100,12.126398,3,2024-09-15 01:56:16.828142+00:00
101,16.545782,3,2024-09-15 01:56:17.486269+00:00
102,21.567245,3,2024-09-15 01:56:18.168693+00:00
103,25.574036,3,2024-09-15 01:56:19.087852+00:00
104,11.581102,3,2024-09-15 01:56:19.873988+00:00
105,7.4380064,3,2024-09-15 01:56:20.746146+00:00
106,8.543133,3,2024-09-15 01:56:21.701665+00:00
107,13.013244,3,2024-09-15 01:56:22.604122+00:00
108,11.291495,3,2024-09-15 01:56:23.533196+00:00
109,19.625124,3,2024-09-15 01:56:24.336874+00:00
110,13.189551,3,2024-09-15 01:56:25.254813+00:00
111,31.326122,3,2024-09-15 01:56:25.900692+00:00
112,22.740618,3,2024-09-15 01:56:26.627456+00:00
113,28.90749,3,2024-09-15 01:56:27.555326+00:00
114,19.545523,4,2024-09-15 01:56:28.272652+00:00
115,12.469995,4,2024-09-15 01:56:29.142774+00:00
116,12.2643585,4,2024-09-15 01:56:30.009787+00:00
117,6.592366,4,2024-09-15 01:56:30.985728+00:00
118,4.7770166,4,2024-09-15 01:56:31.675217+00:00
119,12.493807,4,2024-09-15 01:56:32.370391+00:00
120,7.028743,4,2024-09-15 01:56:33.265561+00:00
121,7.9875126,4,2024-09-15 01:56:33.952288+00:00
122,25.696293,4,2024-09-15 01:56:34.904867+00:00
123,8.633781,4,2024-09-15 01:56:35.758413+00:00
